name,ops,image_url,youtube_url,Unnamed: 4,Human Needs_Observer,Human Needs_Decider,Human Needs_Preferences,Letter_Observer,Letter_Decider,Animal_Energy Animal,Animal_Info Animal,Animal_Dominant Animal,Sexual Modality_Sensory,Sexual Modality_Extraverted Decider
Peter Griffin,MF-Se/Fi-CP/B(S),,https://www.youtube.com//watch?v=sMDonnsUn-0,,Oe,Di,OO,Se,Fi,Play,Consume,Info,M,F
Ronald Reagan,MF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/-yK8cnxbCyhhqmkoKCet6g/Fk5e954whx40uXWp8IWThREEzgBAioA9fPXtmKPvZ7k63QvMh15ECH3_n1wjrfwiWHuXM_INDlNVgl5p4PSaEA/es1eIti6PtTzT-9XyivwRKB9h78X2-j9jcijLjANbIY,https://www.youtube.com//watch?v=OVqllMcDzAE,,Oe,Di,OO,Se,Fi,Play,Consume,Info,M,F
Steve Harvey,MF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/35T7eJ55c3E_bN4V-q_2_w/9tQatvEwFN922PFpZb0RZAKWIxdA6dFExqHWI5yZaFgQ6HItalOehPvhCZ8-eolBkFoZRBrx5GsvHIYqRUeTVA/qj_DOlJ3AIEsO4LlYJejci-6GqI6LHS4DSPnbKBmBt0,https://www.youtube.com//watch?v=SEUlZVBP-j8,,Oe,Di,OO,Se,Fi,Play,Consume,Info,M,F
Michaela,FM-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/UycOv2SqLeEGH1999InAtA/RHVCYKl3dVxE2ITjh7RNsvE5ZbrFfVk7pTNLwrPAqI77BkVARRRIN8vxSKzTAYk26cCEOq2pnEARGtt7IeoH1w/sh3omi9MhqbU49U4E_07GTjPQGo7oitJdOZ2KM9oY_w,https://www.youtube.com//watch?v=NM48BIlR9kc,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,M
Mila Kunis,FM-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/TF84B8Ep6-0k3Sz5v6BM-g/s-_yD02jbNI-GWJz-cab4FY56adoBg--mJf6L5sW2Pw3vMgXOGADohPKWbd_lQ4dLhl8Reu4Z0RxYriHzMH6fA/erT2huqd55ltYg0RyD0EDozo_DLg7epsIn76OJDojYk,https://www.youtube.com//watch?v=u2H-P52XKpA,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,M
Carly Cristman,FM-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/NIMU8YjAA1ywrcO02diyyQ/8s94O-WQYeZhzf848qnvGYeS6QgBVkgZlNb3Z4lMkyfklv39zck_XuUCqOTJMrzyPggbHDF0ijLqCtewB293oA/MYODGXtLSz4FodX3PU1rxHDSBdFf3eox9mshmneBHOQ,https://www.youtube.com//watch?v=Q5kHDv8YeAE,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,M
Jeff the SP Spazz,FM-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/lXB5x8gPIeyYBYGYG70srA/5lPd86_Iu3l5Omlp3Egy1gUOqFrxth5eXOT5smbV_aPYiajCFCMcYVzP3-YvscM4yP2AA7hPd1xH6ZfVAm_i1A/maw4uAvOsBrUCzelY4TCumCTCryKSw6y8wcFMwzwmaw,https://www.youtube.com//watch?v=Bz-eRckrx7w,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,M
Laura Prepon,FM-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/yQd_M5SPpjGSIVVdHi9nIg/u6u81R4w0GoXX5-t_u9ylGrSdiS_SfHXGpgQDKMVt_ra9uY9K6yIlCj1z17aPRhoWdHbQ0OUcDc_shTUrbtq2g/pBkRSmJh8RTfOe4IYKsxmVY-_ABU0wjlUhSRX7kCPvI,https://www.youtube.com//watch?v=oGqVdnXSwgs,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,M
Nicole Arbour,FM-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/-OS8B1aJJ24oTaG541wHKA/mX_kEJnvHSRYJn7LhcAuB1nFakAVTo_n4RViq3_t3mTnH2kC30-wHZfJXvQV2vrlcdl76na1Wl5DKTOiD0rKtA/rn7v8PQx27LB8byO6dQq8N90wxVlGbo5tiCi9Vbtm3c,https://www.youtube.com//watch?v=3ivEPElUAtw,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,M
Queen Tayyy,FM-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/6hU-n_QfQcLKzsvnJo4gPQ/WYnDQ_frSt-IWDCeUblhsLwgQdw1HZCSuHe33VmXMpEH-1DPEGA44l6aPooYYyrqYFIptylJ95MLk7D04BHK0g/r9rp5ng8eqlLcTR3l9-iXb0fhvrj0lTBYsIToTuz2Bw,https://www.youtube.com//watch?v=D2n2vPa3vls,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,M
Greg Plitt,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/eJCVDOYRwxOzRnMRnMwB2w/oVHOBteZ537vIjOKPdK_aYOE29KCDY-fl80uQ3gLlepSHpo15jpfUKAHk6cFQ7FAzyVdrI3gmRrpxxsT0Y_bSQ/D92Bwv9M2X7CGrtoGr0uZais8bS7SyQRRY8fEPyWuJA,https://www.youtube.com//watch?v=Qa_mMDqxjDg,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Catherine Arpö,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/4dINOT787CT5HHo-0zJi1w/ARgb9qiEItTAY3u6x87SIHfSZ3P3A_ao-eUiMnCC0iFkQV1qYz2DvDKXvJfkaWpleO-MB_fehq6gb91rEv5Rog/8R_O3I13xo8f6RnvRJbGcfVW6Goyf99CwA9JLd-SNjE,,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
James Charles,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/MkhSRfbkGNUikcIkutDvTA/pZbjGqd0-H1ftep71pCwx3fJMw4s2dtu4tBQkj-bqQyuUiIsiTFsCdLVuQrgef-OfJmrQJnGC5dc7szaeioTUw/wtGYBKiHcn1H4JvRUi_hhvVcokISAvjJHWBz0wm3DgE,https://www.youtube.com//watch?v=fQvCZ5ZsnGM,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Dolly Parton,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/U8VZaPppAxZxuEXch_f1Iw/_AjIkNbI19Q6Koz33cRJ5oLy838JKcqmtH0R4MntqGtNXvCoR8KQqye67vQZ2lMBArwB-wEL8Ta0MwG1jOMpnw/Pv-7wSDBTUK0uvX7DE30uWYnaAsc8WtIyJKmiupza4s,https://www.youtube.com//watch?v=uQ7StOs2xY0,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Benjamin S,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/aTCqxXOqZPXE77I5WV7pbA/Nu4BYWRKvKCrLwuQDqBRnQgW8PNReokoNIqcTi9uV8Yc9qXcs-hE_vrTKiruBj8amNTHZtGMZtkElDKa3ZvfUg/a0o2SWdSgXq5QsIbaIf812HU26z9XzqWjJwusn95Zlg,https://www.youtube.com//watch?v=4-8NRSfk_a8,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Channon Rose,FF-Se/Fi-CP/B(S),,https://www.youtube.com//watch?v=VSDBEoRtp8U,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Charles C,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/EJn-3W9kVth5eqq99SbU-A/yzWTUPSPymDmsXZ1ECrVzdFTN1XbC4jyU7IF_oEX0XKjbG_b_VQvQuteCiEzR0wOVXJ_ONvbL1ALt7ppbfjYkQ/BKhWPIlGE8N7rD888H-TE-TKUvkd_9Lks5BzwHy0ta0,https://www.youtube.com//watch?v=6q3zy4NRzz4,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Emily Calandrelli,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/qbzi6BvOUxO9GMIs61No6Q/PjOBwgJ0I_EMkdc3VSOSJCY2u86mGnjQntKMexW7PDGNXlgKwN0h_DerFGAvvN9al_6Bg89S29kR3upvy1bg3A/NW4i1ZgeooGiCf6kD2mHYWwmfQQFIP5dgDlEvvfLd1U,https://www.youtube.com//watch?v=QhLt2rUXZp4,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Guy L,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/gCWRny4Rx0BSPbnNOf0TuQ/HpLIBm3Yxdh6K3qy7W0d2oQA4j251UdSEP08Vx7xOxAqfiLhqWaLxr_ThdvZhsLM0MRDjMKkT5Hs4zFOUo2-sA/krv6PfZQlS64up1_yJQx8pXauHCpx_r4IEvPOYi2ZBA,https://www.youtube.com//watch?v=cszoL8ilbZQ,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Jay Park,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/ZKAZFO2RSaIDYkOzFMarGg/ZdYi2BjELnMEeF8-nNdytUU5maAfnWxqwGzzboKYtSGP41vwMa1EvFCoQkdV9Z8BmnLRqOzycMzMZTbazJGOZw/Rab0CqlS15riC1CzlYq1M_ldwsMhDiInnpcrABsYJeo,https://www.youtube.com//watch?v=gbv1U4PejnI,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Katie,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/3J8aukxaU876Fh3om2bDkw/Yxg6injolwZy8GD9ge5JzHoGfNSynAydvi3Du3jJ2zm3FkVWp4aJnMVe-3EqlN7QgE0Hc8uA1o2KWS2KVhmLFw/WPO_j5r7MKOD2wN4at-72N3L-AMRFQCO182JVrunDR4,https://www.youtube.com//watch?v=dCe_OBYp5UA,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Manny Mua,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/QQGN0SJBUk5OC0YQObEN_Q/Sbh-iqSe_EHCNgeuhaGrNaSW1uHypWh1jvZeJhdMOfyy60XcBCVy2Du4ZFoRbtDArRheQdNhIKQ_Guj3oiAZ3A/-iBZ4aRJpp5JqTml4TO0QURuYQZ-K9TREmiC6FUM88U,https://www.youtube.com//watch?v=FTYyUWTJuXA,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Rana El Kaliouby,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/OI5B6IgqhGsvjM2iwmaDvw/b63dUW-5u88PupxaphryhRfU27X_zUV4GVWYeflZZsDl_dcogKRn0i2rA52qNqy3CK_vQFJJNlfdMMq7NEN_YQ/ZWYtXFUJniH4mLK629oFH33Ih7Sn_ti9dj60SGd9fNM,https://www.youtube.com//watch?v=AURiOhqYYYw,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Ryan Trahan,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/4lWOyWzyw0w_5J85F39F4w/h6j9_7KLNp7WncbeOdtpQowIsUV__2XsuJY8jMAUv6AvQ8cSh-ra-8JWnJTOLRT0sirUv322nHHPscQjkOhR9Q/L2LbvTzQvDkPAgNbypaKTd-KZbP_yxi5M3PTZMZjDBo,https://www.youtube.com//watch?v=MPJWezC7aMc,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Wendy Yung,FF-Se/Fi-CP/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/-pF-sQpeod-hFeNi-AYy4g/KlqGtTLIXSqdmqPa_rcIPyVh38rH7q27NlSYiXxSzJw9C7P_4_s7GQoG0yCot1yC5xC96b-tO7vfWIiLh9_AeQ/Ias8nQ6SLsBfucA-EmUCsUnjQVfoNuoO-ug3a0UPUfQ,https://www.youtube.com//watch?v=9wSsD2haKLI,,Oe,Di,OO,Se,Fi,Play,Consume,Info,F,F
Kirsten C,FM-Se/Fi-CP/?(?),https://v5.airtableusercontent.com/v1/21/21/1696708800000/hAoAd-2zDQ7Zjvf2JWGG6A/oAwewS6ZhMhEIMrrv7crbEIuqBX4qgUMkj3VMMa8WLyO96vKw26CcS9ZCL2w6cNr2G2ryecBbdXCi_oh9QUBvA/NImZMEhQZGXLrJFJTTV9MdrBhL7DJLlkq0CE5kOfza8,https://www.youtube.com//watch?v=pvlrzZOMLcY,,Oe,Di,OO,Se,Fi,,,,F,M
Mike Tyson,MM-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/YQfFs4rQ2C732CAt0y0o_w/oGHqFtevdltZfbuMQNq8ctslTtEbzTHbMfuw7dqvO8kgKkyoK60K4Crt7qo4CwlWM0m5MQJ3R-xTrEWb0Hnvi-w--85kfIzKyUlREEBtz5I/CO8PPNbzLVoc5xKWO8vQt2a8uQmoNaWDpkHMa0iXVdQ,https://www.youtube.com//watch?v=F7jR_UGrTww,,Oe,De,OO,Se,Fe,Play,Consume,Energy,M,M
Serena Williams,MM-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/7Wx75CSLcSfCCV15Hl36Eg/Y7dBj9owqSzL-F9EJ4jW7BjeGvbIWYGrSXCDxyUebkY5_QXjY1JnoDfYc3xaVRatI9C5ViN2ZHUZ27F3MFHFOA/v6hQT7T3pa9gfxFIP8s9RSoNMK9S2fW0vWZhvKy_7bQ,https://www.youtube.com//watch?v=U_VA5JyA1Os,,Oe,De,OO,Se,Fe,Play,Consume,Energy,M,M
Denzel Washington,MM-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/2hG26jFonolIgHeL-4LZfQ/bp8-O1U0kDhelSCzUrQMkd5JNUq0hkHugbdTFzUYCk7TGNQu-U2lOHSTtMp_v_a2CO3iZx7hkdyRvuMnXcjNsQ/FrSB_JVckkbScDq8J9_sq-3kr7kG3GF-92smhmdsVkc,https://www.youtube.com//watch?v=N1EbJAhO55w,,Oe,De,OO,Se,Fe,Play,Consume,Energy,M,M
DJ,FF-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/SyigMLdWzrXaD4ACqzdx8w/fZoXuYDLnjG-uQvtbVdGf3sknDocZuVkno_Q9gp4Sl4US8E2VZNO8-nftO7nkradb8NzCPFErrLogoVS0QlJCg/7IR2_SDJshfv6KapwxmfFk_0vP-MxnBuljEagLl-D3A,https://www.youtube.com//watch?v=yLwaP7DkP1Q,,Oe,De,OO,Se,Fe,Play,Consume,Energy,F,F
Pharrell Williams,FF-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/2lHC49_sK1yZr0KtGLCkQA/DlN3Fkgh508vtlUAEVCknAynO2IFCh2DR2lJ1oXxPdS-J7NKAS-wihwkJDmYTYVh5LUswFdijk06_E7FI4aglQ/dXzjhrJ4BcF2vBCGSlS8B3QoJx4riCfRrYjBk8PlPp4,https://www.youtube.com//watch?v=ihcPhJF3wyg,,Oe,De,OO,Se,Fe,Play,Consume,Energy,F,F
Anderson Silva,FF-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/wXdjaF4UlTJ4EEFUmljnWw/tbbvNsClcgUkVQubeZFLRqLaZJ2Qcjzp2DY4gcM3I_mYkxc-Ex_WnqLph26EolYlIADNGf9NCIVXZ2Uli46-5Q/YMN4kNXyBHU_XpZPePIxmbtbBYvZyIjRW7gCcOjKsMM,https://www.youtube.com//watch?v=iG96zoaLPK8,,Oe,De,OO,Se,Fe,Play,Consume,Energy,F,F
Henry Cavill,FF-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/28VWk7aMi6W3GY2HOOv42w/TxX3Q0Em4HVVzWy7tv1ANDtz9LBcjvmHQaUssGTVVHfah8GDgew42xC6gOq4tkK8PVKzutaC479aMUB1WBEvrQ/Vadi2h-vutgqGeFfVVLs7Dih7ncovvwmc_e1Pxl4kTQ,https://www.youtube.com//watch?v=zeku70Gst7g,,Oe,De,OO,Se,Fe,Play,Consume,Energy,F,F
Ian Theron,FF-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/62g3b5Pc27sWo0Zp9p2d-Q/5HFeLsbLG_HEIHrZPlBwBVY9yWUUbuW_LrLCmS_m_RKqJZGZUcd97jBGg4UXJ5XBdCtBeaALorvuKchqNc879w/mrBG3cz8SUqH3YntQWpz-CJ94NAU2wrHilQb68-QC-E,https://www.youtube.com//watch?v=OVoWVKKLPYk,,Oe,De,OO,Se,Fe,Play,Consume,Energy,F,F
Kaegan,FF-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/vXgyu5yDVEMuXIemG3YdjA/gbTFEHMserlaaAq6rg0osa7WzB7n6OSS31yWRCjen0IsANpfjHciy1fIf_oJEFVqIbMjE7xn7004M5bd3egeTg/fEF6jrMZ6EQ2v5kEuDyNXQvFVpt-hl5hiipA4Xtbrdo,https://www.youtube.com//watch?v=-Zi1m8hzK8I,,Oe,De,OO,Se,Fe,Play,Consume,Energy,F,F
Twiggy Vittoria,FF-Se/Fe-PC/S(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/kGKpsirtffsTraLDHu043A/zOMB3-HsOLU_PVBnhyZPCvc4EwHcCQTczB5wy2R5udYgU9sqbWvLhZmEiMkSItwRUUTmx28pwC9SoqJFeETaJA/XMzwwPY0j43T1X4j9-LCEfT52Z1u2lbXqGe-89QhOJU,https://www.youtube.com//watch?v=VDsbyvl_NLk,,Oe,De,OO,Se,Fe,Play,Consume,Energy,F,F
Whoopi Goldberg,MM-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/8YXsmu8Tq3yfOXsFz-pcjw/RECA1-5mSD5ma9NXeD0vCoqwLN4e1hBPBWHJ7l9ZDxoToGIqcic3XloM-NXESS3otx3YTdXfEJhh0jso3wHubQ/OfKsU2R7SRDwhmoCL7ZGSg6-StMISnspCn-sfZOa85w,https://www.youtube.com//watch?v=wMmvT0dmQic,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,M
Samuel L. Jackson,MM-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/9nl_lyXGJbnmm5J0Wcr2MA/9NE-ltGhtftSp0E96xCskS-6LxkhhgIYsWAOjh0nLlxoc6P30Pzzm5Y-8sX5aTMUKzkrvUdv1Efw3HKJC6CtQg/mQLvill4bz6JLZq8cA02SV670KQq8tcFOKaSA-eFdE4,https://www.youtube.com//watch?v=K2igTuBZXGM,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,M
Chris Gardner,MM-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/FKNJtOYaPoj5fUQtIhDJpQ/WJr83o_5xv5465hKH3dL81isOHaCvv8jMS67ofnPY8p1WD4yRJJnG7ryeLz0yuAUPU-_ZXqeqor7buj0eGV-Fg/2DaBqwJuvCmu5uuXe8nIDFJu1_Y8LcLZSgZzGY8mUcs,https://www.youtube.com//watch?v=Et4smdtKlGU,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,M
Terry Crews,MF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/XvOtKE8hbXLvVORIyC4XxA/ri0veMJY4o6QbeIXa_Irfy_wYDjREai6ePNMQ29lWKhuPYE-xdSmbwy_8tjp_FDtia1X9T3ltRhGfBa8D018Eg/rTvjxwcetjpMi98eevTRGxhrJ6_6x0f5duELpaPneO0,https://www.youtube.com//watch?v=PnoCfKY7L-s,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,F
Danny Trejo,MF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/oVxLZdWT712nPExREIXFDw/8cued_JCS4VLqmcU0TKHzc5hSHgP3myR2LCzqPWa0X9XzxAzBsz_TZJcrsE9VMJkFT70idSPbruk_wNuz5W7Pw/u9yMcQc9LsviN4MxVL6FGqwmi7v930X0WpvcpCzOTQk,https://www.youtube.com//watch?v=L-8oo3TFJlE,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,F
Kevin Hart,MF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/4gSJxBiTlo1l_tozwk9xkg/gPdG9lc62cglLq-KTVQ_wfgSFAJLJMGboJVkl7WNZAk_gNu5T7wHb8A3FJ-76sDbigd6P4gIzW8VOg_gus91iw/pzfHX-MYPuqZkKLM6Vn6B2vG_aus0_92I6tEZLuMoPo,https://www.youtube.com//watch?v=3HN6daiMqn0,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,F
Kevin Hodge,MF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/hG2_X7yu54fkzrQqsbS3Lg/2BDPJJugZXZpnuXOxMpbzWv9Gr6Fu_RstfaPKjBPji0KxgBpKd9dF11QcFTtJdoVz8V_FaBcnuWSOfKu6SwXtQ/icPgi6VH4yZRKN96KGw8Td9_3mqbmGwylKObyC2ulB0,https://www.youtube.com//watch?v=kLogiCh5E4k,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,F
Lewis Hilsenteger,MF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/1RXLpai6L8O08tHtuDH5hg/QpdNMiY0KWoRbD-9TdZctzMghnoRhhH2qbTUw8KjH7eM-Ph6n21H_iuvQRNN3W9fDWGD6TKS-W9cjF9HguR1VQ/d5OD_xXuJX0MI_7bfBbxENk-6bl7h6lmd_5bWthq138,https://www.youtube.com//watch?v=Jtg2f6Oex6o,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,F
Logan Paul,MF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/-KnLs0GRgKA8bJ6htBRI5A/U2V3do9g_5n7oZn17-T8VUIkiZMa00tHk2k6icKSpq8CMH7redY-crND7SDFrzD89MiHue4G97gbY0IiTXUxdg/bKmbfb8oYmEu4cBVdKJwDgNIQZS_i4ikknCwCBGgPC8,https://www.youtube.com//watch?v=OpXtvD2HCpc,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,F
Samuel Gyasi,MF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/79E6t3FnahFp8RxLYNNgVw/wkxsfprBdHtFOkIoxWPsKIROzc-3w0pZ0qrJ7pFditksx6EsF1ARatgMM_N5LhvXw2hfu_of7kK6JIPSwUa0iQ/pCJ4_TqtrJwusSmab-f1K5FaaPomX7lAxWT1mwY4faE,https://www.youtube.com//watch?v=MeukdQ_iXT8,,Oe,De,OO,Se,Fe,Play,Consume,Info,M,F
Brandon Carter,FF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/rI81px1FPqFMNZEwlkwlNw/m_4iaVSpmunSLFV-BhnDXTMfravQJB4ZkX9nmkZqyNqp4z8W8hMhpOJmtIHrMLVP41a7bq4aHWOW6VEBN8ZfUw/FM-khkUeKxp8AMJotqbi5ME-zaH6RnU3JdKXrBwmTeI,https://www.youtube.com//watch?v=2M6dMmo1XLQ,,Oe,De,OO,Se,Fe,Play,Consume,Info,F,F
Chris Rock,FF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/0oZCEbYupiX4JIowMAMwKQ/QLR--pNbp9k1Bs7jWH08fq2uyltmEF2_UkEa-Z5YBXAFUC4c2ALSvSkI9e17FVsmJwHNid7769B4Y1JbbKU4Pg/XikD3woonFq1UQb9uGzvgEWg8zTKIstntAmrhN1ErKE,https://www.youtube.com//watch?v=4O1DgGnmIJM,,Oe,De,OO,Se,Fe,Play,Consume,Info,F,F
Jay Shetty,FF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/nJ5Vl7N1Xgs_6a6olZ5RxQ/o-HSYm5IpmZQRWbVTFrJ8C5HC1oGsZ3shTgQnNx-gw3fedOB6F8QQK3ZOBdoAMQwNMer8p2GAi27YOcG4ZDdjg/ZpnTVBuF4ucUFhoJQnr-k1L0KZfdxLVED4LCc2zpVvE,https://www.youtube.com//watch?v=a5BHutz6P-g,,Oe,De,OO,Se,Fe,Play,Consume,Info,F,F
John Scarce,FF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/KsFpyJa4NUgpehgs_NKdFA/6bCw_B-K1LgrfEZG7lFhJ2Kla-CPvtxrMgVOXoJ-4FeMQ41jGvNKwqhR19mg7bzp6uKp3Y9sJNvphXz0LE7EXA/5S7AKBdDM7oqz7d4Y-bYTikcIT1KV7cgw1GIAdzVfK8,https://www.youtube.com//watch?v=-Zi1m8hzK8I,,Oe,De,OO,Se,Fe,Play,Consume,Info,F,F
Josh Katz,FF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/VMQkAT9UBSLSMYVBTl7kBg/f41I9r5XZj51VHZBK7jDtzNBEkoGolFJcgrmjUVf0VfqCzJEpGteXpVyVtWPD6zT0QSxq5wYjS6boLQAqLwM7A/XS9AkOyhfveQRfB7AXr6_wGDNM6V9iEl0Iu370r6CZA,https://www.youtube.com//watch?v=UJvDcd5uPNc,,Oe,De,OO,Se,Fe,Play,Consume,Info,F,F
Nikki Phillippi,FF-Se/Fe-PC/B(S),,https://www.youtube.com//watch?v=QoDWfaO86FI,,Oe,De,OO,Se,Fe,Play,Consume,Info,F,F
Sharon Horgan,FF-Se/Fe-PC/B(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Z5fPjAqlL2psBvMlbWEtfw/TPDK6yd1veWA8PTVMxiOfsa0XH8cs2ZVUjR1WhMXZJfDPSpFoKFyMktGskD2GZOPiSnkksoww8YlNINRNR5DLQ/4f42FGX5eb56-Lt3nsuPj8o-kWPXW_g_habP3NcY-fc,https://www.youtube.com//watch?v=lAUQiNiSNco,,Oe,De,OO,Se,Fe,Play,Consume,Info,F,F
Adam Scorgie,MM-Se/Fe-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/1p1DomKnv5Qtxg2KgJoTDA/idDm8LPYx-qlVjC_9niyhM6WFyhKNG-3GoaQifFIY4Dssda1U59pDeOzLdPmo5U13Q5PPEoK1-Yfwp3mB-5--A/XzCOTXcB4BY6N_qkuINLSUM6BF5nMZ_3VEE7HajwdWo,https://www.youtube.com//watch?v=izg0fEgVNNE,,Oe,De,OO,Se,Fe,Play,Blast,Energy,M,M
Alexandra Arroyo-Acevedo,MF-Se/Fe-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/dlEr2GT_ma64broMSFiSiA/G04-zNWd8BvSaXh3r0GO_eLtzc-Ia6lRuNSijbIcS38fp9yDr9cI-pMDzlbJgvEH3jmR4LE-BB67pS8x8pSMWg/fI6uATjKd9OQ4wmIP9lj20b43Mn_GXKLKg_PU-lYFws,https://www.youtube.com//watch?v=4PQG1O8YQsk,,Oe,De,OO,Se,Fe,Play,Blast,Energy,M,F
